ano,sigla_uf,id_municipio,raca_cor,sexo,localizacao,idhm,idhm_l,idhm_e,idhm_r,idhm_subescolaridade,idhm_subfrequencia,prosperidade_social,proporcao_vulnerabilidade_socioeconomica,proporcao_sem_agua_esgoto,proporcao_sem_coleta,renda_per_capita,proporcao_sem_renda_18_mais,renda_trabalho,proporcao_vulneravel,razao_dependencia,fecundidade_total,taxa_envelhecimento,mortalidade_1_menos,proporcao_crianca_fora_escola_6_14,proporcao_analfabetismo_18_mais,proporcao_fundamental_completo_18_mais,proporcao_medio_completo_18_20,expectativa_vida,populacao_18_mais,populacao_65_mais
2010,PI,2208874,total,mulher,total,0.541,0.74,0.419,0.511,0.247,0.545,muito baixo,3.44,6.8,5.08,192.59,46.86,37.44,78.17,60.3,2.07,7.73,29.47,1.49,30.89,24.7,8.94,69.39,1358,164
2010,PI,2209971,total,mulher,total,0.552,0.744,0.457,0.494,0.284,0.581,muito baixo,2.01,7.56,67.16,172.83,27.7,31.4,79.93,61.22,2.07,7.3,28.9,1.62,34.7,28.35,17.84,69.65,2295,265
2010,PI,2200202,total,mulher,total,0.67,0.793,0.632,0.601,0.483,0.723,médio,2.25,8.67,4.7,336.57,6.63,46.39,57.35,57.01,1.66,9.24,19.79,0.89,22.08,48.29,37.42,72.58,5824,798
2000,SC,4205902,total,mulher,total,0.691,0.837,0.545,0.722,0.387,0.647,alto,,0.03,0.23,713.07,3.75,81.46,17.02,47.15,1.47,5.21,13.81,3.23,4.04,38.69,33.14,75.22,15886,1211
2000,SC,4218202,total,mulher,total,0.71,0.843,0.576,0.736,0.412,0.682,muito alto,,0.0,0.83,778.56,3.64,76.54,14.0,44.58,1.38,7.25,12.98,3.79,2.73,41.18,28.57,75.57,10530,1063
2010,BA,2907806,total,mulher,total,0.618,0.773,0.518,0.589,0.33,0.649,baixo,5.35,12.38,15.55,311.83,22.82,41.68,61.2,53.84,1.68,11.31,23.12,3.05,30.11,32.97,28.3,71.39,11537,1851
2010,BA,2910107,total,mulher,total,0.616,0.792,0.536,0.55,0.337,0.676,médio,0.0,18.99,0.0,245.36,38.79,35.56,65.31,50.92,1.56,10.8,20.73,2.79,22.48,33.66,30.48,72.49,3960,589
2010,BA,2918753,total,mulher,total,0.57,0.757,0.458,0.533,0.291,0.576,muito baixo,1.87,16.0,7.02,220.82,46.7,29.51,73.18,52.73,1.69,8.55,25.48,1.93,28.41,29.09,29.45,70.41,4531,576
2010,BA,2919553,total,mulher,total,0.734,0.826,0.631,0.757,0.559,0.67,muito alto,1.81,3.41,0.0,891.17,3.48,88.7,33.11,48.15,1.43,1.64,15.74,3.05,7.45,55.92,37.48,74.55,18534,475
2010,BA,2922508,total,mulher,total,0.667,0.79,0.595,0.631,0.5,0.649,médio,4.84,10.68,3.72,406.33,15.21,50.53,58.06,49.57,1.58,9.32,20.53,2.86,18.52,50.01,27.44,72.42,9915,1331
2010,BA,2930204,total,mulher,total,0.6,0.759,0.533,0.533,0.349,0.658,muito baixo,4.54,8.78,20.3,220.73,19.98,42.22,73.96,63.28,2.06,6.64,24.75,2.31,23.12,34.88,27.5,70.57,11159,1200
2000,RS,4302907,total,mulher,total,0.59,0.782,0.433,0.605,0.31,0.512,muito baixo,,7.74,17.99,345.39,10.06,56.54,58.13,55.77,1.69,8.68,21.43,1.78,10.51,30.96,20.65,71.95,5133,661
2000,RS,4308052,total,mulher,total,0.615,0.789,0.462,0.638,0.206,0.692,médio,,11.84,8.63,423.08,61.41,72.8,57.51,60.89,1.86,7.95,19.88,3.61,13.01,20.59,44.8,72.34,930,114
2000,RS,4312377,total,mulher,total,0.487,0.752,0.287,0.535,0.126,0.433,muito baixo,,7.99,100.0,222.9,13.1,32.43,68.26,63.84,1.95,10.18,24.44,0.0,14.75,12.64,9.85,70.13,913,144
2000,RS,4314159,total,mulher,total,0.55,0.797,0.333,0.627,0.172,0.464,baixo,,5.91,4.92,395.89,5.47,66.45,34.83,53.02,1.53,11.64,17.88,10.93,9.94,17.23,11.63,72.79,2711,440
2000,RS,4318457,total,mulher,total,0.546,0.781,0.369,0.566,0.149,0.581,baixo,,8.24,21.39,270.74,37.38,64.67,68.42,53.34,1.91,5.86,20.69,4.79,10.42,14.88,24.17,71.84,964,86
2000,RS,4318606,total,mulher,total,0.682,0.821,0.593,0.653,0.36,0.762,médio,,1.16,6.81,464.06,12.84,63.06,47.29,49.43,1.44,9.04,16.01,2.78,9.76,35.99,44.16,74.25,2481,319
2010,PR,4103206,total,mulher,total,0.705,0.832,0.609,0.692,0.431,0.724,alto,20.68,0.13,0.77,593.64,1.12,68.54,19.89,48.62,1.54,9.43,14.83,4.26,15.72,43.12,38.9,74.9,2359,323
2010,PR,4105409,total,mulher,total,0.75,0.836,0.687,0.736,0.463,0.836,muito alto,2.43,1.43,2.13,778.22,14.43,71.8,24.43,45.72,1.47,8.6,13.49,2.09,8.58,46.29,63.82,75.15,7058,849
